date,orders,units,revenue,freight_value,avg_review_score,on_time_rate
2017-10-24,164,193,22071.27,3667.39,4.317,0.947644
2017-10-25,154,171,17507.06,3224.53,4.2,0.976331
2017-10-26,143,179,22573.15,3744.62,3.893,0.931818
2017-10-27,131,156,20377.58,2774.87,4.19,0.922581
2017-10-28,86,97,16483.61,2438.87,4.154,0.978947
2017-10-29,130,160,17267.75,3015.85,4.259,0.949686
2017-10-30,144,169,20221.23,3109.65,4.12,0.888199
2017-10-31,157,194,23813.00,3033.53,3.947,0.932642
2017-11-01,109,127,19383.61,2683.38,4.276,0.952381
2017-11-02,121,145,21263.73,2819.21,3.917,0.950355
2017-11-03,138,169,22844.05,3192.10,3.947,0.952663
2017-11-04,111,135,19169.07,3125.74,4.097,0.96124
2017-11-05,141,162,17327.44,3574.51,4.012,0.974684
2017-11-06,190,209,28600.29,4549.32,3.985,0.935323
2017-11-07,157,177,20829.71,3781.01,4.062,0.931034
2017-11-08,174,199,19240.51,4022.37,3.99,0.927835
2017-11-09,188,223,25053.34,3848.30,3.941,0.967593
2017-11-10,164,193,20223.84,3379.73,3.859,0.907104
2017-11-11,155,175,23292.07,3378.87,4.093,0.940476
2017-11-12,172,186,23087.26,3442.05,4.059,0.940217
2017-11-13,202,235,24391.97,4942.27,4.019,0.903509
2017-11-14,189,222,27049.68,4307.19,3.883,0.891509
2017-11-15,185,216,23711.29,3834.96,3.934,0.927536
2017-11-16,224,257,28268.82,4649.27,4.152,0.907631
2017-11-17,189,225,29209.07,4983.10,3.896,0.909502
2017-11-18,146,171,23233.30,3972.08,3.915,0.891566
2017-11-19,158,176,19955.56,3357.05,4.29,0.908571
2017-11-20,226,262,44284.47,5781.40,3.833,0.865613
2017-11-21,226,258,34316.64,4959.53,4.027,0.807087
2017-11-22,198,239,24962.57,4988.59,3.895,0.874459
2017-11-23,277,336,44712.88,6786.58,3.808,0.858896
2017-11-24,1166,1366,152653.74,25723.89,3.634,0.806691
2017-11-25,498,580,60923.48,10934.68,3.58,0.771529
2017-11-26,388,456,45315.28,8279.92,3.703,0.788889
2017-11-27,400,474,47923.66,8721.19,3.644,0.797441
2017-11-28,376,431,47886.55,8361.92,3.822,0.803279
2017-11-29,319,366,39834.75,7196.84,3.722,0.805014
2017-11-30,264,295,31322.74,5295.35,3.96,0.896907
2017-12-01,274,312,39981.91,5991.91,3.79,0.868852
2017-12-02,214,235,31208.13,4505.05,3.804,0.879828
2017-12-03,231,261,29262.92,4944.50,3.781,0.883268
2017-12-04,331,369,47348.52,6911.60,3.951,0.855556
2017-12-05,275,323,33632.37,5928.05,3.866,0.899054
2017-12-06,273,314,39198.74,6291.48,4.07,0.880645
2017-12-07,226,257,28055.78,4865.10,3.86,0.877953
2017-12-08,215,237,29847.46,4514.76,3.859,0.875
2017-12-09,155,170,20027.04,3612.48,3.958,0.91716
2017-12-10,187,205,24695.79,3921.49,3.99,0.925743
2017-12-11,267,296,33990.39,5425.04,3.979,0.934708
2017-12-12,258,295,33468.71,5088.67,3.839,0.909408
2017-12-13,218,262,29601.28,4781.35,3.828,0.957364
2017-12-14,199,215,25286.23,4294.64,3.868,0.938389
2017-12-15,192,208,27382.20,4069.43,3.942,0.94
2017-12-16,131,144,20296.28,2610.78,4.05,0.943662
2017-12-17,133,151,19312.41,2793.59,3.98,0.972973
2017-12-18,208,233,29162.11,4648.50,4.086,0.933628
2017-12-19,174,201,20615.99,3512.30,4.171,0.905
2017-12-20,171,196,27958.53,4046.14,3.977,0.943005
2017-12-21,143,156,18572.22,2960.73,4.032,0.941176
2017-12-22,110,127,14935.30,2272.74,3.969,0.96
2017-12-23,107,119,12875.05,2482.04,3.983,0.883929
2017-12-24,59,62,5759.01,1201.78,4.098,0.983051
2017-12-25,90,101,10381.34,2280.89,4.071,0.927083
2017-12-26,168,181,20549.43,3238.31,4.182,0.97191
2017-12-27,166,184,17700.40,3327.11,4.235,0.978022
2017-12-28,146,157,15037.49,2744.56,4.156,0.948052
2017-12-29,133,151,16042.72,2722.93,4.207,0.973333
2017-12-30,96,108,13042.65,2146.84,3.953,0.972222
2017-12-31,74,78,8685.77,1498.27,4.026,0.986667
2018-01-01,73,81,6948.21,1443.71,3.901,0.95
2018-01-02,203,233,25315.00,4095.51,3.965,0.97807
2018-01-03,222,247,31886.72,4859.36,4.059,0.963115
2018-01-04,255,278,34839.44,5076.72,4.054,0.944649
2018-01-05,209,244,27720.39,4506.97,3.942,0.956897
2018-01-06,215,258,27609.67,4971.61,3.799,0.976562
2018-01-07,195,220,29433.01,4485.11,4.114,0.97235
2018-01-08,292,334,38714.40,6454.25,3.965,0.960366
2018-01-09,251,272,30248.91,5152.42,4.085,0.955056
2018-01-10,277,317,38479.53,6341.39,3.936,0.942122
2018-01-11,264,305,40056.96,6275.54,3.941,0.963455
2018-01-12,239,284,30988.94,5944.03,3.863,0.956835
2018-01-13,216,240,28091.91,4587.92,4.202,0.974249
2018-01-14,232,252,30962.53,4426.30,4.008,0.926829
2018-01-15,305,340,38330.30,6648.43,4.003,0.951662
2018-01-16,301,362,44237.17,6856.80,3.787,0.898876
2018-01-17,282,300,36089.22,6052.31,4.084,0.935593
2018-01-18,238,274,27774.77,4984.62,4.007,0.926471
2018-01-19,232,263,29954.78,5310.05,3.772,0.925781
2018-01-20,184,208,22381.68,4569.65,4.174,0.898058
2018-01-21,194,213,23829.83,4063.96,3.847,0.913043
2018-01-22,310,353,37137.64,6257.47,3.818,0.919308
2018-01-23,262,300,34746.17,5547.00,4.101,0.894558
2018-01-24,243,271,31700.17,5199.19,3.854,0.851711
2018-01-25,232,265,29634.42,5054.86,3.958,0.94186
2018-01-26,228,265,33995.00,5266.30,3.83,0.919231
2018-01-27,153,175,22031.08,3071.69,3.776,0.936047
2018-01-28,155,168,24100.75,3406.47,4.127,0.962963
2018-01-29,246,289,30481.32,5540.14,3.757,0.879859
2018-01-30,257,313,29588.85,5773.88,3.774,0.884488
2018-01-31,255,284,32721.59,5047.87,4.164,0.957143
2018-02-01,232,268,30362.15,5374.59,4.056,0.942966
2018-02-02,212,256,27731.60,4785.90,3.785,0.908
2018-02-03,193,209,23448.66,4121.96,4.18,0.965854
2018-02-04,201,222,23989.79,4226.69,4.027,0.949309
2018-02-05,271,313,37360.84,5836.12,3.971,0.918567
2018-02-06,267,300,34119.38,5727.34,3.795,0.938983
2018-02-07,246,283,31306.23,5026.10,4.011,0.942652
2018-02-08,229,254,27314.73,4498.30,3.859,0.888
2018-02-09,211,229,30743.07,4166.06,4.046,0.862832
2018-02-10,176,195,21248.16,3773.22,3.933,0.891192
2018-02-11,170,188,22504.98,3438.99,3.473,0.846154
2018-02-12,215,250,23310.73,4298.80,3.664,0.823293
2018-02-13,222,263,23638.34,4486.77,3.772,0.891473
2018-02-14,294,345,37079.65,6259.50,3.993,0.872404
2018-02-15,281,316,32279.91,5660.36,3.709,0.855263
2018-02-16,212,245,26894.99,4779.14,3.631,0.851852
2018-02-17,202,224,24952.76,4461.73,3.814,0.859091
2018-02-18,202,234,24592.43,4469.46,3.746,0.818182
2018-02-19,259,295,28190.63,5545.32,3.873,0.815331
2018-02-20,288,315,36568.57,5965.19,3.803,0.86129
2018-02-21,265,310,32401.69,5525.27,3.607,0.773333
2018-02-22,278,362,32718.71,5972.23,3.309,0.789625
2018-02-23,235,260,28424.70,4648.26,3.696,0.793774
2018-02-24,190,209,24263.51,4034.95,3.678,0.73913
2018-02-25,237,269,29203.77,5727.12,3.424,0.737643
2018-02-26,296,334,43750.96,6361.12,3.357,0.710366
2018-02-27,298,366,40267.20,6809.78,3.379,0.750693
2018-02-28,312,358,45510.57,6749.98,3.524,0.730659
2018-03-01,275,316,39651.51,6537.74,3.399,0.731392
2018-03-02,265,303,31776.46,5597.07,3.493,0.686667
2018-03-03,212,230,26394.97,4972.16,3.601,0.689189
2018-03-04,235,250,32441.90,4909.09,3.544,0.720165
2018-03-05,262,316,38323.07,7061.40,3.317,0.699346
2018-03-06,271,305,39173.99,6797.26,3.47,0.688742
2018-03-07,258,289,36137.89,6333.27,3.539,0.705263
2018-03-08,234,273,28156.39,5685.73,3.581,0.754717
2018-03-09,203,229,28405.44,5311.07,3.485,0.784753
2018-03-10,192,214,26203.91,4597.23,3.493,0.745098
2018-03-11,218,239,31320.43,5297.92,3.601,0.75
2018-03-12,232,259,30644.66,5286.25,3.655,0.704724
2018-03-13,227,270,36074.24,6105.37,3.604,0.771318
2018-03-14,198,235,23528.79,4795.05,3.689,0.779221
2018-03-15,286,327,44311.46,7132.60,3.645,0.772436
2018-03-16,252,290,32832.19,5927.82,3.361,0.810036
2018-03-17,180,191,20078.50,3918.36,3.764,0.807487
2018-03-18,215,232,31119.33,4957.05,4.026,0.850877
2018-03-19,302,366,44645.19,7936.56,3.695,0.778711
2018-03-20,297,348,35749.47,7138.45,3.864,0.862974
2018-03-21,285,315,39714.43,6719.53,4.061,0.892508
